https://api.chucknorris.io/jokes/hq2NogMcQwae7Xf9sG5jTg,When Chuck Norris pours milk on his rice cripsies they shut the fuck up!!!
https://api.chucknorris.io/jokes/YsUbavl-Q42YatsiBS-AGw,God prays to Chuck Norris.
https://api.chucknorris.io/jokes/MgNoaZdqTKCY35zJBwZJEg,Freddy has nightmares about Chuck Norris
https://api.chucknorris.io/jokes/1-pKo7WLRq2a_rnVl6kOrA,Eternal life use to exist until Chuck Norris uninvented it now Chuck decides who lives and dies
https://api.chucknorris.io/jokes/qNgPyDMuQWu8FXIQlHhJIQ,Chuck Norris can blow candles back on.
https://api.chucknorris.io/jokes/FtP59_k_RZSK7yTtOdbn0w,Chuck Norris can say a toung twister
https://api.chucknorris.io/jokes/gH0jE2pOQMSUUZjbuJ5fOw,Chuck Norris can scare fear.
https://api.chucknorris.io/jokes/kNIvYPw0Sn6kYilrDS8LTA,Chuck Norris has over 600 miles of black belts in his home.
https://api.chucknorris.io/jokes/9nL_Qq8HQ0e1AZIht42ffw,Chuck Norris' toejam sells for over eight hundred dolars a bottle.
https://api.chucknorris.io/jokes/iyigyr-fqi-cxllf6qnpag,Chuck Norris keeps his friends close and his enemies closer. Close enough to drop them with one round house kick to the face.
